Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Risk and Logistics,MATH11190,RaL,Joerg Kalcsics,gaitchi2,Semester 2,10,,y,,40,15,3,1,5,0,5,1,3,5,3,10,40,P,Weekly
Risk-Neutral Asset Pricing,MATH11157,RNAP,Chak Hei Lo,gaitchi2,Semester 2,10,,y,,40,15,3,1,5,0,5,1,3,5,3,10,40,P,Even
Sabbatical - Semester 1,SabS1,Sab_S1,,lcaudrey,Semester 1,,,,,,15,0,,,,,1,,,,0,0,,Weekly
Sabbatical - Semester 2,SabS2,Sab_S2,,lcaudrey,Semester 2,,,,,,15,0,,,,,1,,,,0,0,,Weekly
Several Variable Calculus and Differential Equations,MATH08063,SVCDE,MAXIMILIAN RUFFERT,mdelane1,Semester 1,20,,y,,310,12,26,1,10,2,10,1,26,10,2,10,537,2,Weekly
Simulation,MATH11028,SIM_O,BURAK BUKE,gaitchi2,Semester 2,10,,y,,55,15,4,1,5,0,5,1,4,5,3,10,55,P,Even
Special Topics,MATH11058,S-T,Goncalo Dos Reis,gaitchi2,Semester 1,10,HW course with UoE staff,y,,,15,0,2,5,2,10,1,0,10,2,10,20,,Weekly
Statistical Case Studies,MATH10102,SCS,Nicole Augustin,alisonf,Full Year,,,,,60,15,4,,,0,0,1,,0,2,0,0,4,
Statistical Computing,MATH10093,SComp,Finn Lindgren,gmazelyt,Semester 2,10,,y,,235,15,16,2,10,0,20,1,16,20,2,20,627,3,Weekly
Statistical Consultancy,MATH10092,STCon,BRUCE WORTON,alisonf,Semester 1,10,,y,,,15,0,1,5,2,5,1,0,5,2,5,10,,Weekly
Statistical Learning,MATH10094,Sle,GORDON ROSS,alisonf,Semester 2,10,NOT RUNNING,N,,,15,0,3,10,2,30,1,0,30,2,30,60,,Weekly
Statistical Methodology,MATH10095,StMe,Serveh Sharifi Far,gmazelyt,Semester 1,10,,y,,355,15,24,1,5,0,5,1,24,5,3,10,355,3,Even
Statistical Programming/Extended Statistical Programming,MATH11176,SP,Simon Wood,gaitchi2,Semester 1,10,new CO for 2023-24 (prev Colin Rundel),y,,140,15,9,2,10,0,20,1,9,20,2,20,373,P,Weekly
Statistical Research Skills,MATH11188,SRS,Miguel Bras De Carvalho,gaitchi2,Semester 2,10,,y,,100,15,7,1,10,0,10,1,7,10,2,10,133,P,Weekly
